#id arrival runtime priority
1	11	2	8
2	17	4	5
3	21	16	4
4	30	14	7
5	35	3	2
6	35	17	8
7	38	28	6
8	43	8	9
9	50	26	7
10	54	11	8
11	59	26	4
12	63	4	8
13	72	17	3
14	76	3	2
15	76	25	7
16	85	29	2
17	93	10	5
18	93	24	3
19	98	14	7
20	107	26	9
21	107	20	10
22	115	17	7
23	121	1	7
24	125	2	7
25	133	21	10
26	139	29	0
27	140	5	4
28	148	6	10
29	151	28	0
30	160	6	9
31	163	14	4
32	166	16	9
33	169	17	0
34	172	4	10
35	181	16	2
36	182	24	3
37	184	9	1
38	186	12	8
39	189	20	2
40	195	23	3
41	195	11	4
42	196	1	0
43	199	26	8
44	204	1	9
45	210	19	5
46	219	28	10
47	225	12	7
48	227	18	9
49	227	5	8
50	234	12	6
51	240	3	0
52	250	2	5
53	251	26	0
54	252	6	5
55	255	18	1
56	265	7	6
57	271	22	10
58	278	11	10
59	287	27	0
60	294	11	7
61	298	5	2
62	305	20	3
63	315	10	0
64	320	17	5
65	324	7	4
66	331	28	6
67	331	4	4
68	336	24	1
69	338	28	0
70	345	3	0
71	351	10	8
72	358	9	10
73	364	17	2
74	372	15	4
75	373	27	5
76	382	0	4
77	389	3	3
78	393	5	3
79	395	19	3
80	404	19	10
81	408	17	3
82	414	10	4
83	421	12	10
84	423	9	7
85	429	21	8
86	437	4	5
87	441	4	3
88	443	0	7
89	450	4	3
90	457	27	5
91	458	25	9
92	465	2	10
93	468	6	7
94	475	17	10
95	483	15	9
96	490	10	3
97	499	8	0
98	503	21	0
99	505	24	3
100	514	11	9
